3,13,2026-03-24,"200,03",Debito Auto
3,13,2026-03-24,"226,97",Credito Auto
3,13,2026-03-24,"76,35",Debito Auto
3,13,2026-03-24,"182,64",Debito Auto
3,13,2026-03-24,25,Debito Auto
3,13,2026-03-24,"232,93",Pix Auto
3,13,2026-03-24,"97,3",Debito Auto
3,13,2026-03-24,"97,3",Debito Auto
3,13,2026-03-24,60,Credito Auto
3,13,2026-03-24,"97,3",Credito Auto
3,13,2026-03-24,"97,12",Credito Auto
3,13,2026-03-24,"171,16",Pix Auto
3,13,2026-03-24,"112,19",Debito Auto
3,13,2026-03-24,"507,43",Credito Auto
3,13,2026-03-24,25,Credito Auto
3,13,2026-03-24,"111,54",Credito Auto
3,13,2026-03-24,"161,89",Pix Auto
3,13,2026-03-24,"69,74",Credito Auto
3,13,2026-03-24,"58,49",Credito Auto
3,13,2026-03-24,"153,52",Credito Auto
3,13,2026-03-24,"114,38",Credito Auto
3,13,2026-03-24,"176,03",Credito Auto
3,13,2026-03-24,"114,43",Credito Auto
3,13,2026-03-24,25,Credito Auto
3,13,2026-03-24,"102,11",Credito Auto
3,13,2026-03-24,"154,81",Credito Auto
3,13,2026-03-24,"106,65",Credito Auto
3,13,2026-03-24,25,Pix Auto
3,13,2026-03-24,"139,43",Credito Auto
3,13,2026-03-24,"95,45",Credito Auto
3,13,2026-03-24,"188,24",Pix Auto
3,13,2026-03-24,"64,14",Pix Auto
3,13,2026-03-24,"223,43",Credito Auto
3,13,2026-03-24,"216,18",Credito Auto
3,13,2026-03-24,"124,51",Credito Auto
3,13,2026-03-24,"41,74",Credito Auto
3,13,2026-03-24,"173,68",Credito Auto
3,13,2026-03-24,"215,06",Credito Auto
3,13,2026-03-24,"74,95",Credito Auto
3,13,2026-03-24,"69,74",Dinheiro
3,13,2026-03-24,"42,81",Credito Auto
3,13,2026-03-24,"97,74",Debito Auto
3,13,2026-03-24,"98,1",Debito Auto
3,13,2026-03-24,"98,1",Credito Auto
3,13,2026-03-24,"98,1",Credito Auto
3,13,2026-03-24,"91,98",Credito Auto
3,13,2026-03-24,"24,46",Debito Auto
3,13,2026-03-24,"84,25",Credito Auto
3,13,2026-03-24,25,Debito Auto
3,13,2026-03-24,"181,99",Credito Auto
3,13,2026-03-24,"73,05",Debito Auto
3,13,2026-03-24,"50,65",Credito Auto
3,13,2026-03-24,"335,8",Pix Auto
3,13,2026-03-24,"254,1",Credito Auto
3,13,2026-03-24,"100,88",Pix Auto
3,13,2026-03-24,"33,9",Credito Auto
3,13,2026-03-24,"339,63",Credito Auto
3,13,2026-03-24,505,Pix Auto
3,13,2026-03-24,"186,36",Pix Auto
3,13,2026-03-24,"150,69",Credito Auto
3,13,2026-03-24,"26,35",Credito Auto
3,13,2026-03-24,50,Dinheiro
3,13,2026-03-24,"190,84",Credito Auto
3,13,2026-03-24,"178,52",Credito Auto
3,13,2026-03-24,"117,62",Pix Auto
3,13,2026-03-24,"275,54",Credito Auto
3,13,2026-03-24,"215,12",Credito Auto
3,13,2026-03-24,"162,48",Credito Auto
3,13,2026-03-24,"234,27",Credito Auto
3,13,2026-03-24,"150,16",Credito Auto
3,13,2026-03-24,"79,82",Credito Auto
3,13,2026-03-24,25,Debito Auto
3,13,2026-03-24,"90,97",Pix Auto
3,13,2026-03-24,100,Credito Auto
3,13,2026-03-24,"164,59",Credito Auto
3,13,2026-03-24,"77,53",Credito Auto
3,13,2026-03-24,25,Debito Auto
3,13,2026-03-24,"171,5",Credito Auto
3,13,2026-03-24,"64,14",Credito Auto
3,13,2026-03-24,"114,38",Debito Auto
3,13,2026-03-24,25,Credito Auto
3,13,2026-03-24,"203,75",Credito Auto
3,13,2026-03-24,"152,34",Debito Auto
3,13,2026-03-24,"55,18",Pix Auto
3,13,2026-03-24,25,Debito Auto
3,13,2026-03-24,"115,55",Debito Auto
3,13,2026-03-24,"198,26",Credito Auto
3,13,2026-03-24,"114,38",Credito Auto
3,13,2026-03-24,"58,49",Credito Auto
3,13,2026-03-24,"67,39",Credito Auto
3,13,2026-03-24,"122,36",Pix Auto
3,13,2026-03-24,"122,35",Pix Auto
3,13,2026-03-24,"33,9",Credito Auto
3,13,2026-03-24,"175,16",Credito Auto
3,13,2026-03-24,"73,05",Credito Auto
3,13,2026-03-24,"80,89",Pix Auto
3,13,2026-03-24,"107,77",Credito Auto
3,13,2026-03-24,"33,9",Debito Auto
3,13,2026-03-24,25,Credito Auto
3,13,2026-03-24,"170,68",Credito Auto
3,13,2026-03-24,"50,65",Credito Auto
3,13,2026-03-24,"25,16",Debito Auto
3,13,2026-03-24,"175,86",Credito Auto
3,13,2026-03-24,"127,82",Debito Auto
3,13,2026-03-24,"114,38",Pix Auto
3,13,2026-03-24,"116,67",Pix Auto
3,13,2026-03-24,"116,67",Pix Auto
3,13,2026-03-24,"52,89",Debito Auto
3,13,2026-03-24,"227,38",Credito Auto
3,13,2026-03-24,"108,72",Credito Auto
3,13,2026-03-24,25,Pix Auto
3,13,2026-03-24,"170,29",Credito Auto
3,13,2026-03-24,"170,29",Credito Auto
3,13,2026-03-24,"60,62",Credito Auto
3,13,2026-03-24,"214,3",Credito Auto
3,13,2026-03-24,"111,07",Credito Auto
3,13,2026-03-24,"67,45",Credito Auto
3,13,2026-03-24,"92,03",Debito Auto
3,13,2026-03-24,"92,03",Credito Auto
3,13,2026-03-24,25,Credito Auto
3,13,2026-03-24,"67,28",Credito Auto
3,13,2026-03-24,"75,06",Credito Auto
3,13,2026-03-24,"143,74",Credito Auto
3,13,2026-03-24,"47,34",Debito Auto
3,13,2026-03-24,"70,75",Debito Auto
3,13,2026-03-24,"76,41",Credito Auto
3,13,2026-03-24,"201,79",Debito Auto
